year,title,rating,Execution time
1903,The Great Train Robbery,0,220ms
1915,The Birth of a Nation,3.3,
1916,Intolerance: Love's Struggle Throughout the Ages,3.8,
1917,Otets Sergiy,0,
1917,The Immigrant,0,
1918,A Dog's Life,0,
1919,Broken Blossoms or The Yellow Man and the Girl,3.7,
1919,"Die Spinnen, 1. Teil - Der Goldene See",0,
1919,Male and Female,0,
1920,Das Cabinet des Dr. Caligari.,4.1,
1920,The Saphead,0,
1920,"Der Golem, wie er in die Welt kam",0,
1920,Way Down East,0,
1921,Orphans of the Storm,0,
1921,The Goat,0,
1922,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",4.1,
1922,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",4.1,
1922,"Nosferatu, eine Symphonie des Grauens",3.9,
1922,Häxan,3.8,
1922,Nanook of the North,3.7,
1922,Foolish Wives,0,
1922,Tess of the Storm Country,0,
1922,Foolish Wives,0,
1922,Blood and Sand,0,
1923,Three Ages,0,
1923,Our Hospitality,0,
1923,Safety Last!,0,
1923,A Woman of Paris: A Drama of Fate,0,
1924,Der letzte Mann,4.1,
1924,The Thief of Bagdad,3.6,
1924,The Thief of Bagdad,3.6,
1924,The Thief of Bagdad,3.6,
1924,The Iron Horse,0,
1924,Sherlock Jr.,0,
1924,Greed,0,
1925,The Gold Rush,4.1,
1925,Bronenosets Potyomkin,4,
1925,The Phantom of the Opera,3.7,
1925,Seven Chances,0,
1925,The Pleasure Garden,0,
1926,The General,4.4,
1926,The General,4.4,
1926,The General,4.4,
1926,Battling Butler,3.7,
1926,The Black Pirate,0,
1926,3 Bad Men,0,
1926,The Son of the Sheik,0,
1927,Sunrise: A Song of Two Humans,4.4,
1927,Metropolis,4.1,
1927,Metropolis,4.1,
1927,Berlin: Die Sinfonie der Grosstadt,3.9,
1927,It,3.7,
1927,The Cat and the Canary,0,
1927,The Kid Brother,0,
1928,La passion de Jeanne d'Arc,4.4,
1928,The Circus,4.1,
1928,Oktyabr,4,
1928,The Farmer's Wife,0,
1928,Steamboat Willie,0,
1928,"Steamboat Bill, Jr.",0,
1928,The Cameraman,0,
1928,Champagne,0,
1929,Die Büchse der Pandora,4.1,
1929,Chelovek s kino-apparatom,4.1,
1929,Un chien andalou,4.1,
1929,Die Büchse der Pandora,4.1,
1929,The Cocoanuts,3.6,
1929,Blackmail,3.4,
1929,The Manxman,3.1,
1929,The Broadway Melody,2.9,
1929,Big Business,0,
1930,L'âge d'or,4,
1930,Der blaue Engel,4,
1930,Le sang d'un poète,3.9,
1930,All Quiet on the Western Front,3.8,
1930,All Quiet on the Western Front,3.8,
1930,The Bat Whispers,3.4,
1930,Juno and the Paycock,0,
1930,The Big Trail,0,
1930,Animal Crackers,0,
1930,Anna Christie,0,
1930,Hell's Angels,0,
1931,City Lights,4.3,
1931,City Lights,4.3,
1931,M,4.3,
1931,The Public Enemy,3.9,
1931,Tabu: A Story of the South Seas,3.8,
1931,À nous la liberté,3.7,
1931,Dracula,3.6,
1931,Dracula,3.6,
1931,Little Caesar,3.6,
1931,Frankenstein,3.6,
1931,Dracula,3.6,
1931,Frankenstein,3.6,
1931,The Skin Game,2.7,
1931,Monkey Business,0,
1931,Monkey Business,0,
1931,Arrowsmith,0,
1931,Platinum Blonde,0,
1931,Rich and Strange,0,
1932,Trouble in Paradise,4.2,
1932,Freaks,4,
1932,Horse Feathers,3.9,
1932,Grand Hotel,3.8,
1932,A Farewell to Arms,0,
1932,Number Seventeen,0,
1932,Tarzan the Ape Man,0,
1932,The Most Dangerous Game,0,
1932,Movie Crazy,0,
1932,I Am a Fugitive from a Chain Gang,0,
1932,White Zombie,0,
1932,Movie Crazy,0,
1932,Movie Crazy,0,
1932,The Mask of Fu Manchu,0,
1933,Duck Soup,4.1,
1933,The Invisible Man,3.7,
1933,42nd Street,3.5,
1933,Cavalcade,3,
1933,Gold Diggers of 1933,0,
1933,The Son of Kong,0,
1933,Dinner at Eight,0,
1933,Mystery of the Wax Museum,0,
1933,Zéro de conduite: Jeunes diables au collège,0,
1933,Das Testament des Dr. Mabuse,0,
1933,The Vampire Bat,0,
1933,The Private Life of Henry VIII.,0,
1933,Tarzan the Fearless,0,
1933,Footlight Parade,0,
1933,I'm No Angel,0,
1933,Flying Down to Rio,0,
1933,The Vampire Bat,0,
1933,Queen Christina,0,
1934,Little Miss Marker,NULL,
1934,Little Miss Marker,NULL,
1934,L'atalante,4.3,
1934,The Thin Man,4.2,
1934,It Happened One Night,4.1,
1934,Manhattan Melodrama,3.7,
1934,Twentieth Century,3.7,
1934,Man of Aran,3.6,
1934,Babes in Toyland,3.6,
1934,Babes in Toyland,3.6,
1934,The Gay Divorcee,0,
1934,Of Human Bondage,0,
1934,Judge Priest,0,
1934,Bright Eyes,0,
1934,The Gay Divorcee,0,
1934,The Scarlet Empress,0,
1934,Chapaev,0,
1935,Captain Blood,NULL,
1935,A Night at the Opera,4.1,
1935,Top Hat,4,
1935,The 39 Steps,3.8,
1935,Mutiny on the Bounty,3.7,
1935,Mutiny on the Bounty,3.7,
1935,Bride of Frankenstein,3.7,
1935,Alice Adams,3.6,
1935,Barbary Coast,3.1,
1935,Texas Terror,0,
1935,Anna Karenina,0,
1935,Triumph des Willens,0,
1935,Anna Karenina,0,
1935,The Littlest Rebel,0,
1935,Roberta,0,
1936,Modern Times,4.2,
1936,Modern Times,4.2,
1936,My Man Godfrey,4.1,
1936,My Man Godfrey,4.1,
1936,Dodsworth,4,
1936,Camille,3.9,
1936,Sabotage,3.5,
1936,The Great Ziegfeld,3.4,
1936,Things to Come,3.3,
1936,Come and Get It,3.1,
1936,Tell Your Children,3,
1936,Dimples,0,
1936,Rembrandt,0,
1936,The Plainsman,0,
1936,The Invisible Ray,0,
1936,Libeled Lady,0,
1936,Mr. Deeds Goes to Town,0,
1936,The Petrified Forest,0,
1936,Wife vs. Secretary,0,
1936,The Devil-Doll,0,
1936,Show Boat,0,
1936,Anthony Adverse,0,
1936,San Francisco,0,
1936,The Devil-Doll,0,
1936,The Green Pastures,0,
1936,Secret Agent,0,
1936,After the Thin Man,0,
1936,Secret Agent,0,
1936,Dracula's Daughter,0,
1936,Little Lord Fauntleroy,0,
1936,Swing Time,0,
1936,Mary of Scotland,0,
1936,Follow the Fleet,0,
1937,La grande illusion,4.3,
1937,The Awful Truth,4,
1937,Drôle de drame ou L'étrange aventure du Docteur Molyneux,3.8,
1937,Pépé le Moko,3.8,
1937,The Good Earth,3.7,
1937,The Life of Emile Zola,3.6,
1937,A Damsel in Distress,3.5,
1937,Young and Innocent,3.4,
1937,Lost Horizon,0,
1937,In Old Chicago,0,
1937,Stella Dallas,0,
1937,Marked Woman,0,
