Sheet 1: Duplicate Movie,,
mid,title,
2790,"""Earth: Final Conflict""",
34193,"""Earth: Final Conflict""",
3892,"""Grey's Anatomy""",
4175,"""Grey's Anatomy""",
4408,11'09''01 - September 11,
7789,11'09''01 - September 11,
1203,12 Angry Men,
55020,12 Angry Men,
559,2 Days in Paris,
54796,2 Days in Paris,
5468,20 Million Miles to Earth,
27790,20 Million Miles to Earth,
5004,24 Hour Party People,
5508,24 Hour Party People,
3534,28 Days Later...,
6502,28 Days Later...,
6815,30 Days of Night,
55282,30 Days of Night,
5300,3:10 to Yuma,
54997,3:10 to Yuma,
656,48 Hrs.,
5049,48 Hrs.,
53131,4: Rise of the Silver Surfer,
53464,4: Rise of the Silver Surfer,
3912,A Beautiful Mind,
4995,A Beautiful Mind,
7370,A Foreign Affair,
49200,A Foreign Affair,
5966,A Kiss Before Dying,
26734,A Kiss Before Dying,
262,A Little Princess,
917,A Little Princess,
2622,A Midsummer Night's Dream,
7057,A Midsummer Night's Dream,
1972,A Nightmare on Elm Street: The Dream Child,
36152,A Nightmare on Elm Street: The Dream Child,
459,A Perfect Getaway,
5471,A Perfect Getaway,
8016,A Perfect Getaway,
1892,A Perfect Murder,
2219,A Perfect Murder,
3217,A Star Is Born,
25996,A Star Is Born,
6984,A Tale of Two Cities,
63121,A Tale of Two Cities,
5677,Abandon,
51666,Abandon,
5624,Ae Fond Kiss...,
27851,Ae Fond Kiss...,
1352,Albino Alligator,
2525,Albino Alligator,
8977,Alexander,
9002,Alexander,
4191,Alfie,
8948,Alfie,
1320,Alien³,
1690,Alien³,
1927,All Quiet on the Western Front,
7334,All Quiet on the Western Front,
1942,All the King's Men,
48326,All the King's Men,
5918,Alone in the Dark,
31424,Alone in the Dark,
62299,Alone in the Dark,
2706,American Pie,
4718,American Pie,
2864,American Splendor,
6620,American Splendor,
1688,Anastasia,
6516,Anastasia,
130,Angela's Ashes,
3179,Angela's Ashes,
700,"Angus, Thongs and Perfect Snogging",
62718,"Angus, Thongs and Perfect Snogging",
3421,Animal House,
4340,Animal House,
1496,Anna Karenina,
7092,Anna Karenina,
34299,Appaloosa,
61986,Appaloosa,
952,Around the World in 80 Days,
8526,Around the World in 80 Days,
6691,Ask the Dust,
44189,Ask the Dust,
3726,Assault on Precinct 13,
31420,Assault on Precinct 13,
3757,Asylum,
34538,Asylum,
2445,At First Sight,
7490,At First Sight,
660,August Rush,
8158,August Rush,
55872,August Rush,
60524,August Rush,
4871,Auto Focus,
5680,Auto Focus,
34,Babe,
6517,Babe,
2017,Babes in Toyland,
3086,Babes in Toyland,
Execution time ,79ms,
,,
Sheet 1: Duplicate Actors,,
mid,name,cast_position
33,Balinder Johal,1
33,Craig Sheffer,1
33,Elizabeth McGovern,1
33,Freddy Andreiuci,1
33,Ken Pogue,1
33,Molly Parker,1
33,Ron Sauvé,1
33,Tom Hulce,1
33,Val Kilmer,1
59,Anne-Marie Cadieux,1
59,Billy Merasty,1
59,François Papineau,1
59,Jean-Louis Millette,1
59,Kristin Scott Thomas,1
59,Lothaire Bluteau,1
59,Lynda Lepage-Beaulieu,1
59,Marie Gignac,1
59,Normand Daneau,1
59,Pascal Rollin,1
59,Patrick Goyette,1
59,Paul Hébert,1
59,Richard Fréchette,1
59,Ron Burrage,1
59,Suzanne Clément,1
128,Katina Pendleton,1
128,Maggie Cogan,1
143,Angelo Santiago,1
143,Frank Finlay,1
143,George Coe,1
143,Ivan Brkic,1
143,Martin Sheen,1
143,Michael York,1
143,Mirko Boman,1
143,Morgan Fairchild,1
143,Mustafa Nadarevic,1
143,Paul Guilfoyle,1
143,Ray Girardin,1
143,Slavko Brankov,1
143,Tony Zazula,1
143,William Hootkins,1
143,Zlatko Crnkovic,1
210,Bruce Dern,1
210,Christina Applegate,1
210,David Arquette,1
210,Diane Lane,1
210,Ellen Barkin,1
210,James Gammon,1
210,James Remar,1
210,Jeff Bridges,1
210,John Hurt,1
210,Karen Huie,1
210,Keith Carradine,1
210,Marjoe Gortner,1
210,Pato Hoffmann,1
210,Robert Knott,1
210,Steve Reevis,1
360,Charles Martin Smith,1
360,Dan Butler,1
360,Eugene Levy,1
360,James Rebhorn,1
360,Jane Adams,1
360,Julia Roberts,1
360,Kelly Rutherford,1
360,Lisa Lu,1
360,Marsha Mason,1
360,Nick Nolte,1
360,Nora Dunn,1
360,Olympia Dukakis,1
360,Paul Gleason,1
360,Robert Loggia,1
360,Saul Rubinek,1
412,Alec McCowen,1
412,Alexis Smith,1
412,Daniel Day-Lewis,1
412,Geraldine Chaplin,1
412,Joanne Woodward,1
412,Jonathan Pryce,1
412,Mary Beth Hurt,1
412,Michael Gough,1
412,Michelle Pfeiffer,1
412,Miriam Margolyes,1
412,Richard E. Grant,1
412,Robert Sean Leonard,1
412,Siân Phillips,1
412,Stuart Wilson,1
412,Winona Ryder,1
418,Aidan Turner,1
418,Donald Sumpter,1
418,Jason Watkins,1
418,Lenora Crichlow,1
418,Lyndsey Marshal,1
418,Mark Fleischmann,1
418,Russell Tovey,1
418,Sinead Keenan,1
453,Anthony Higgins,1
453,Bob Balaban,1
453,Daniel Hagen,1
453,Debra Monk,1
453,Donna Mitchell,1
453,Fyvush Finkel,1
Execution time ,136ms,
