"primary_type","num_crimes_of_type"
"THEFT","1640506"
"BATTERY","1442716"
"CRIMINAL DAMAGE","923000"
"NARCOTICS","885431"
"OTHER OFFENSE","491922"
"ASSAULT","481661"
"BURGLARY","470958"
"MOTOR VEHICLE THEFT","370548"
"ROBBERY","300453"
"DECEPTIVE PRACTICE","280931"
"CRIMINAL TRESPASS","229366"
"PROSTITUTION","86401"
"WEAPONS VIOLATION","77429"
"PUBLIC PEACE VIOLATION","58548"
"OFFENSE INVOLVING CHILDREN","51441"
"CRIM SEXUAL ASSAULT","29868"
"SEX OFFENSE","28707"
"GAMBLING","18806"
"LIQUOR LAW VIOLATION","17513"
"INTERFERENCE WITH PUBLIC OFFICER","15710"
"ARSON","13097"
"HOMICIDE","9051"
"KIDNAPPING","7756"
"INTIMIDATION","4636"
"STALKING","3734"
"OBSCENITY","496"
"PUBLIC INDECENCY","163"
"OTHER NARCOTIC VIOLATION","144"
"NON-CRIMINAL","97"
"CONCEALED CARRY LICENSE VIOLATION","90"
"NON - CRIMINAL","38"
"RITUALISM","31"
"HUMAN TRAFFICKING","28"
"NON-CRIMINAL (SUBJECT SPECIFIED)","4"
"DOMESTIC VIOLENCE","2"
