"primary_type","num_crimes_of_type"
"THEFT",176635
"BATTERY",151711
"CRIMINAL DAMAGE",105519
"NARCOTICS",92662
"OTHER OFFENSE",52977
"BURGLARY",52405
"ASSAULT",50852
"MOTOR VEHICLE THEFT",37707
"ROBBERY",33387
"DECEPTIVE PRACTICE",29582
"CRIMINAL TRESPASS",24605
"PROSTITUTION",10254
"WEAPONS VIOLATION",7746
"PUBLIC PEACE VIOLATION",6021
"OFFENSE INVOLVING CHILDREN",5163
"CRIM SEXUAL ASSAULT",3016
"SEX OFFENSE",2955
"GAMBLING",2396
"LIQUOR LAW VIOLATION",1823
"ARSON",1288
"INTERFERENCE WITH PUBLIC OFFICER",1159
"KIDNAPPING",717
"INTIMIDATION",522
"HOMICIDE",513
"STALKING",380
"OBSCENITY",26
"OTHER NARCOTIC VIOLATION",24
"PUBLIC INDECENCY",8
